,Label Combination,Frequency
111,"(4, 10, 16, 29, 34, 39)",1
112,"(4, 5, 19, 26, 39, 42)",1
113,"(4, 22, 26, 31, 39)",1
114,"(0, 11, 22, 27, 39)",1
115,"(4, 15, 26, 29, 39)",2
116,"(6, 7, 22, 39)",1
117,"(7, 22, 26, 37, 39, 47)",1
118,"(4, 22, 36, 38, 39)",1
119,"(7, 22, 26, 36, 39)",1
120,"(4, 34, 39)",2
121,"(7, 29, 34, 37, 39)",1
122,"(4, 15, 22, 33, 39)",2
123,"(4, 8, 22, 39)",1
124,"(0, 25, 29, 39)",2
125,"(7, 12, 19, 22, 39)",1
126,"(0, 22, 38, 39)",1
127,"(7, 26, 29, 34, 39)",3
128,"(4, 19, 27, 39)",1
129,"(7, 15, 29, 33, 39, 47)",1
130,"(0, 19, 38, 39)",1
131,"(0, 12, 29, 38, 39)",1
132,"(0, 29, 38, 39)",2
133,"(4, 19, 22, 26, 39)",2
134,"(4, 19, 22, 26, 39, 47)",1
135,"(4, 15, 22, 26, 32, 39)",1
136,"(4, 15, 29, 33, 37, 39)",2
137,"(7, 29, 32, 39)",1
138,"(7, 22, 26, 39, 47)",1
139,"(4, 12, 15, 22, 26, 39)",1
140,"(7, 12, 19, 22, 26, 39)",1
141,"(7, 13, 19, 22, 37, 39)",1
142,"(7, 29, 39, 47)",1
143,"(7, 19, 26, 39)",2
144,"(4, 22, 39, 42)",2
145,"(7, 26, 29, 39, 47)",2
146,"(4, 26, 29, 34, 38, 39)",1
147,"(0, 10, 39)",1
148,"(7, 29, 34, 37, 39, 47)",1
149,"(4, 6, 22, 39)",3
150,"(7, 19, 39)",1
151,"(0, 19, 23, 39)",3
152,"(0, 15, 27, 29, 34, 39)",2
153,"(3, 7, 22, 26, 39)",1
154,"(7, 15, 23, 29, 34, 39)",1
155,"(4, 9, 22, 26, 39)",1
156,"(0, 26, 29, 39)",1
157,"(0, 10, 38, 39, 42)",1
158,"(0, 19, 28, 39)",2
159,"(7, 19, 22, 26, 28, 39)",1
160,"(0, 18, 22, 37)",1
161,"(0, 19, 27, 39)",1
162,"(0, 19, 27, 28, 39)",1
163,"(7, 22, 26, 37, 39)",1
164,"(0, 29, 33, 39)",1
165,"(7, 13, 37, 39)",1
166,"(7, 15, 29, 39)",1
167,"(0, 3, 29, 39)",2
168,"(0, 3, 19, 39)",2
169,"(0, 11, 15, 29, 39)",1
170,"(0, 14, 29, 39)",1
171,"(0, 12, 22, 38, 39, 42)",1
172,"(0, 29, 36, 38, 39)",1
173,"(7, 39)",1
174,"(4, 22, 23, 38, 39)",1
175,"(0, 11, 15, 29, 34, 39)",1
176,"(4, 23, 29, 34, 39)",1
177,"(4, 29, 33, 39)",1
178,"(4, 15, 29, 37, 39)",1
179,"(4, 26, 29, 39, 42)",1
180,"(0, 4, 22, 26, 29, 34, 39)",1
181,"(0, 29, 34, 36, 38, 39)",1
182,"(0, 15, 29, 33, 34, 39)",1
183,"(0, 15, 22, 33, 39)",1
184,"(7, 22, 25, 39)",1
185,"(4, 29)",1
186,"(4, 6, 29, 34, 39)",1
187,"(4, 19, 22, 26, 29, 39)",1
188,"(4, 12, 19, 27, 39)",1
189,"(4, 11, 12, 29, 39)",1
190,"(2, 4, 39, 42)",1
191,"(0, 13, 22, 39)",1
192,"(7, 13, 22, 39)",2
193,"(0, 19, 39, 48)",1
194,"(0, 12, 29, 39, 43)",1
195,"(3, 7, 22, 39)",1
196,"(0, 17, 39)",1
197,"(0, 18, 29, 39)",1
198,"(4, 18, 29, 39)",1
199,"(4, 12, 22, 37, 39)",1
200,"(0, 4, 22, 39)",1
201,"(4, 29, 32, 39)",1
202,"(0, 19, 20, 39)",1
203,"(0, 9, 22, 39)",5
204,"(4, 19, 20, 26, 31, 39)",1
205,"(3, 4, 19, 22, 39)",1
206,"(4, 26, 29, 39, 47)",1
207,"(0, 14, 22, 39, 44)",2
208,"(4, 15, 29, 33, 34, 39)",1
209,"(4, 22, 39, 47)",1
210,"(7, 22, 26, 31, 37, 39)",1
211,"(4, 22, 26, 37, 39)",2
212,"(4, 10, 38, 39)",1
213,"(3, 4, 22, 39)",1
214,"(7, 11, 29, 37, 39)",1
215,"(0, 6, 22, 39)",3
216,"(0, 11, 17, 21, 39)",1
217,"(0, 39, 46)",1
218,"(0, 20, 22, 39)",2
219,"(0, 18, 20, 22, 39)",1
220,"(0, 11, 29, 39, 43)",1
221,"(0, 29, 34, 39, 44)",2
222,"(0, 22, 34, 39, 44)",3
223,"(4, 22, 32, 39)",1
224,"(4, 5, 19, 26, 39)",1
225,"(3, 7, 19, 26, 39)",1
226,"(7, 19, 39, 45)",1
227,"(0, 19, 20, 22, 39)",1
228,"(7, 22, 25, 26, 39)",1
229,"(0, 10, 38, 39)",1
230,"(7, 9, 22, 39)",1
231,"(0, 15, 29, 34, 37, 39)",1
232,"(0, 12, 22, 28, 39)",1
233,"(0, 22, 26, 39)",1
234,"(7, 22, 34, 39)",1
235,"(0, 29, 31, 34, 39)",1
236,"(4, 22, 26)",2
237,"(0, 15, 23, 29, 39)",1
238,"(4, 6, 22, 33, 39)",1
239,"(0, 29, 34)",1
240,"(7, 26, 27, 29, 39)",1
241,"(0, 23, 39)",1
242,"(0, 19, 26, 39)",1
243,"(19, 22, 39)",1
244,"(0, 10, 34, 36, 39)",1
245,"(7, 29, 33, 34, 37, 39)",1
246,"(4, 20, 22, 26, 31, 39)",1
247,"(0, 22, 23)",1
248,"(0, 22, 28, 32, 39)",1
249,"(4, 22, 26, 28, 39)",1
250,"(7, 22, 26, 28, 32, 39)",1
